,Rank
Spencer Strider,1
Gerrit Cole,2
Corbin Burnes,3
Zack Wheeler,4
Pablo López,5
Luis Castillo,6
George Kirby,7
Kevin Gausman,8
Zac Gallen,9
Logan Webb,10
Aaron Nola,11
Yoshinobu Yamamoto,12
Bobby Miller,13
Cole Ragans,14
Grayson Rodriguez,15
Tyler Glasnow,16
Kyle Bradish,17
Zach Eflin,18
Joe Musgrove,19
Framber Valdez,20
Kodai Senga,21
Max Fried,22
Freddy Peralta,23
Eury Pérez,24
Tarik Skubal,25
Logan Gilbert,26
Jesús Luzardo,27
Blake Snell,28
Justin Steele,29
Sonny Gray,30
Yu Darvish,31
Shōta Imanaga,32
Joe Ryan,33
Bailey Ober,34
Michael King,35
Bryan Woo,36
Chris Sale,37
Nick Pivetta,38
Tanner Bibee,39
Shane Baz,40
Dylan Cease,41
Justin Verlander,42
Chris Bassitt,43
Brayan Bello,44
Merrill Kelly,45
Cristopher Sánchez,46
Walker Buehler,47
José Berríos,48
Jordan Montgomery,49
Carlos Rodón,50
Nathan Eovaldi,51
Gavin Williams,52
Cristian Javier,53
Ryan Pepiot,54
Kutter Crawford,55
Louie Varland,56
Bryce Miller,57
Yusei Kikuchi,58
Luis Severino,59
Lucas Giolito,60
Hunter Brown,61
Aaron Civale,62
Shane Bieber,63
Marcus Stroman,64
Brandon Pfaadt,65
Eduardo Rodriguez,66
DL Hall,67
Triston McKenzie,68
Nick Lodolo,69
Edward Cabrera,70
Hunter Greene,71
Nestor Cortes Jr.,72
Aaron Ashby,73
Kenta Maeda,74
Emmet Sheehan,75
Jordan Hicks,76
Taj Bradley,77
Mitch Keller,78
Alek Manoah,79
A.J. Puk,80
Michael Wacha,81
Seth Lugo,82
Braxton Garrett,83
Jameson Taillon,84
John Means,85
Tanner Houck,86
Charlie Morton,87
Erick Fedde,88
Trevor Rogers,89
James Paxton,90
Ricky Tiedemann,91
Reese Olson,92
Garrett Whitlock,93
Lance Lynn,94
Kyle Harrison,95
Jacob deGrom,96
Max Scherzer,97
Drew Rasmussen,98
Robbie Ray,99
Clayton Kershaw,100
Dustin May,101
Paul Skenes,102
Cade Horton,103
Swayer Gipson-Long,104
Prelander Berroa,105
Tylor Megill,106
Mick Abel,107
Max Meyer,108
Robert Gasser,109
Drew Thorpe,110
Connor Phillips,111
Joe Boyle,112
Andrew Abbott,113
Griffin Canning,114
MacKenzie Gore,115
Casey Mize,116
Jon Gray,117
Reid Detmers,118
Chase Silseth,119
Matt Manning,120
Clarke Schmidt,121
Nick Martinez,122
Jhony Brito,123
Logan Allen,124
J.P. France,125
Frankie Montas,126
Sean Manaea,127
Jack Flaherty,128
Michael Soroka,129
José Urquidy,130
Yariel Rodriguez,131
Garrett Crochet,132
JP Sears,133
Brady Singer,134
Ryne Nelson,135
Tyler Wells,136
Chris Paddack,137
Graham Ashcraft,138
Ryan Weathers,139
Wade Miley,140
José Quintana,141
Zack Littell,142
Cody Bradford,143
Dean Kremer,144
